size type  blanks  precomp  comp_time status
2 1 1 0.0172560214996 0.0530440807343 Y
2 1 1 0.0171849727631 0.0368411540985 Y
2 1 1 0.0164070129395 0.0457808971405 Y
2 1 1 0.0163807868958 0.0521929264069 Y
2 1 1 0.0163848400116 0.0495758056641 Y
2 1 1 0.0160808563232 0.044695854187 Y
2 1 1 0.0162589550018 0.0426161289215 Y
2 2 1 0.0185210704803 0.0568721294403 Y
2 2 1 0.0175750255585 0.0510668754578 Y
2 2 1 0.0201330184937 0.0534720420837 Y
2 2 1 0.0191369056702 0.0573790073395 Y
2 2 1 0.0178229808807 0.0567090511322 Y
2 2 1 0.0224320888519 0.0434310436249 Y
2 2 1 0.0163431167603 0.0672619342804 Y
2 3 1 0.0162491798401 0.0394430160522 Y
2 3 1 0.0169541835785 0.0598080158234 Y
2 3 1 0.0168199539185 0.0435271263123 Y
2 3 1 0.0164141654968 0.0453748703003 Y
2 3 1 0.0164449214935 0.0508978366852 Y
2 3 1 0.0167398452759 0.0627138614655 Y
2 3 1 0.0162720680237 0.0462520122528 Y
2 4 1 0.0164649486542 0.052610874176 Y
2 4 1 0.0163338184357 0.0576088428497 Y
2 4 1 0.0161969661713 0.0417618751526 Y
2 4 1 0.0166158676147 0.0422930717468 Y
2 4 1 0.0194299221039 0.0487508773804 Y
2 4 1 0.0181441307068 0.0550301074982 Y
2 4 1 0.0161509513855 0.0528130531311 Y
2 5 1 0.0173790454865 0.0525650978088 Y
2 5 1 0.0167491436005 0.170216083527 Y
2 5 1 0.016793012619 0.0485088825226 Y
2 5 1 0.0242919921875 0.050637960434 Y
2 5 1 0.0164768695831 0.0429039001465 Y
2 5 1 0.0166230201721 0.0418200492859 Y
2 5 1 0.0212278366089 0.0474948883057 Y
2 6 1 0.0225059986115 0.0443871021271 Y
2 6 1 0.0181059837341 0.0506398677826 Y
2 6 1 0.0186350345612 0.0581781864166 Y
2 6 1 0.0175979137421 0.0517740249634 Y
2 6 1 0.0199570655823 0.0503039360046 Y
2 6 1 0.0204010009766 0.050831079483 Y
2 6 1 0.0195000171661 0.0431051254272 Y
2 1 2 0.0175449848175 0.0487229824066 Y
