size type  blanks  precomp  comp_time status
3 1 1 0.118918180466 0.0263249874115 Y
3 1 1 0.102761983871 0.0201170444489 Y
3 1 1 0.105911016464 0.0189440250397 Y
3 1 1 0.0974869728088 0.0171949863434 Y
3 1 1 0.0990509986877 0.0168719291687 Y
3 1 1 0.096684217453 0.0175549983978 Y
3 1 1 0.0997707843781 0.0166380405426 Y
3 2 1 0.0993020534515 0.0186469554901 Y
3 2 1 0.0979831218719 0.0169489383698 Y
3 2 1 0.0989809036255 0.0168180465698 Y
3 2 1 0.104490041733 0.0160601139069 Y
3 2 1 0.0962369441986 0.0169820785522 Y
3 2 1 0.107203960419 0.0162749290466 Y
3 2 1 0.100026130676 0.0164639949799 Y
3 3 1 0.100986003876 0.0182609558105 Y
3 3 1 0.101245880127 0.0172209739685 Y
3 3 1 0.0989079475403 0.0162029266357 Y
3 3 1 0.0968098640442 0.0156760215759 Y
3 3 1 0.0990309715271 0.0171558856964 Y
3 3 1 0.103438854218 0.0182318687439 Y
3 3 1 0.0984539985657 0.0159339904785 Y
3 4 1 0.0971019268036 0.0191130638123 Y
3 4 1 0.100744962692 0.0176270008087 Y
3 4 1 0.107393026352 0.0154778957367 Y
3 4 1 0.0986380577087 0.0158369541168 Y
3 4 1 0.0982081890106 0.0164270401001 Y
3 4 1 0.0987792015076 0.0155880451202 Y
3 4 1 0.101537942886 0.0157170295715 Y
3 5 1 0.0995910167694 0.0167088508606 Y
3 5 1 0.0977318286896 0.0163929462433 Y
3 5 1 0.0991339683533 0.0167951583862 Y
3 5 1 0.0978260040283 0.0156509876251 Y
3 5 1 0.0984480381012 0.0162868499756 Y
3 5 1 0.0962707996368 0.0151190757751 Y
3 5 1 0.0980291366577 0.0159809589386 Y
3 6 1 0.117228031158 0.0177500247955 Y
3 6 1 0.103170871735 0.0178070068359 Y
3 6 1 0.0967149734497 0.0160849094391 Y
3 6 1 0.0989830493927 0.0148229598999 Y
3 6 1 0.097825050354 0.0151741504669 Y
3 6 1 0.0981349945068 0.0149109363556 Y
3 6 1 0.0970540046692 0.0150878429413 Y
3 1 2 0.0965359210968 0.0160171985626 Y
3 1 2 0.116266012192 0.0201280117035 Y
3 1 2 0.0970141887665 0.0255570411682 Y
3 1 2 0.119340896606 0.0301830768585 Y
3 1 2 0.0973570346832 0.0291481018066 Y
3 1 2 0.0967581272125 0.040666103363 Y
3 1 2 0.0959060192108 0.0410339832306 Y
3 2 2 0.0984120368958 0.0160269737244 Y
3 2 2 0.138943910599 0.028844833374 Y
3 2 2 0.152404069901 0.0267977714539 Y
3 2 2 0.151207923889 0.030818939209 Y
3 2 2 0.207700014114 0.0236051082611 Y
3 2 2 0.156324148178 0.0423209667206 Y
3 2 2 0.14661693573 0.0448398590088 Y
3 3 2 0.152746915817 0.0263769626617 Y
3 3 2 0.14782500267 0.0379300117493 Y
3 3 2 0.150516986847 0.0466129779816 Y
3 3 2 0.182888031006 0.0409150123596 Y
3 3 2 0.149945020676 0.0393719673157 Y
3 3 2 0.149020910263 0.0435209274292 Y
3 3 2 0.149729967117 0.0435299873352 Y
3 4 2 0.152360200882 0.0279610157013 Y
3 4 2 0.105454921722 0.0167450904846 Y
3 4 2 0.097697019577 0.0153501033783 Y
3 4 2 0.119303941727 0.0171849727631 Y
3 4 2 0.0975871086121 0.0191569328308 Y
