size  blanks  precomp  comp_time  postcomp
6 1 37.1613819599 2.74513792992 0.000656127929688
6 1 37.274835825 2.75899600983 0.000685930252075
6 1 37.9455900192 2.79575395584 0.000696897506714
6 1 37.2788858414 2.75679707527 0.000733137130737
6 1 37.4980649948 2.76731204987 0.00067400932312
6 1 36.8446919918 2.73313188553 0.000708818435669
6 1 37.6800420284 2.70711493492 0.000694036483765
6 1 38.1489450932 2.71105790138 0.000703096389771
6 1 37.374956131 2.77605009079 0.000705003738403
6 1 37.3625490665 2.70375108719 0.000738143920898
6 1 37.2184331417 2.77504611015 0.00071907043457
6 1 37.9500861168 2.77407407761 0.000776052474976
6 1 37.2208409309 2.73585510254 0.000727891921997
6 1 37.8620800972 2.74756503105 0.000728130340576
6 1 37.9251160622 2.78545498848 0.000725030899048
6 1 37.2479150295 2.74263095856 0.000746965408325
6 1 37.5163769722 2.76062989235 0.000725984573364
6 1 37.3246819973 2.78389692307 0.000731229782104
6 1 37.9975588322 2.78977894783 0.000728845596313
6 1 37.4660050869 2.76048898697 0.000766038894653
6 1 37.8845949173 2.78606581688 0.000733852386475
6 1 38.5687558651 2.78292989731 0.000777006149292
6 1 37.8591709137 2.79174017906 0.000746011734009
6 1 37.0988879204 2.78734397888 0.000802040100098
6 1 37.2176470757 2.78903603554 0.000730991363525
6 1 37.7506818771 2.74274086952 0.000761032104492
6 1 37.1158061028 2.7393321991 0.000808954238892
6 1 37.7593221664 2.83283400536 0.000754833221436
6 1 38.1608169079 2.73026704788 0.000729084014893
6 1 37.0413551331 2.72162413597 0.000833988189697
6 2 37.1677658558 2.71775794029 0.000733852386475
6 2 37.23645401 2.76611089706 0.000712156295776
6 2 38.0331110954 2.75480008125 0.000723123550415
6 2 37.2012438774 2.77202606201 0.000725030899048
6 2 37.6748600006 2.76014900208 0.000713109970093
6 2 37.903537035 2.73131489754 0.00482702255249
6 2 37.1645851135 2.78330397606 0.000725984573364
6 2 37.423361063 2.78616905212 0.000725030899048
6 2 37.0947370529 2.78207182884 0.000771999359131
6 2 38.3294231892 2.74331092834 0.000711917877197
6 2 37.0782389641 2.75816106796 0.000736951828003
6 2 37.773829937 2.78617286682 0.000710964202881
6 2 38.6178221703 2.94778990746 0.000699996948242
6 2 37.5856509209 2.77224111557 0.00900101661682
6 2 37.6235539913 2.76268482208 0.000722885131836
6 2 37.4498369694 2.79784488678 0.000734806060791
6 2 38.1401200294 2.75129103661 0.000702142715454
6 2 37.1177339554 2.77392983437 0.000735998153687
6 2 37.7240657806 2.7708261013 0.000777959823608
6 2 38.2251348495 2.75233888626 0.000748872756958
6 2 37.5263469219 2.74205493927 0.000737905502319
6 2 37.2660419941 2.77834105492 0.00964903831482
6 2 37.3141419888 2.771930933 0.000727891921997
6 2 37.8030881882 2.78836107254 0.000749111175537
6 2 37.3913118839 2.76423382759 0.000706911087036
6 2 37.9080920219 2.80805492401 0.00075101852417
6 2 38.44967103 2.7265188694 0.000715970993042
6 2 37.4902341366 2.76394510269 0.00081205368042
6 2 37.3120248318 2.75672006607 0.000708103179932
6 2 37.1791989803 2.75729489326 0.000724077224731
6 3 37.7716629505 2.75015902519 0.000727891921997
6 3 36.9838850498 2.74598884583 0.000741004943848
