size type  blanks  precomp  comp_time  postcomp
6 1 13 38.9787769318 2.53821706772 0.379866838455
6 2 13 37.9333310127 2.54742980003 0.126177072525
6 2 13 38.7061920166 2.57419109344 0.694032907486
6 2 13 42.0741360188 2.63373303413 1.25840592384
6 3 13 39.6988360882 2.61172008514 0.240550994873
6 3 13 40.1590149403 2.57846903801 0.320608854294
6 3 13 38.7951440811 3.42134380341 0.32901096344
6 4 13 39.7312600613 2.62707781792 0.654241085052
6 4 13 39.0742559433 2.63464903831 0.763283967972
6 4 13 38.5328979492 2.73243618011 1.05494117737
6 5 13 38.8428549767 2.78154087067 0.101063966751
6 5 13 38.0289230347 2.56048512459 0.45204782486
6 5 13 36.7878448963 2.58163905144 0.751529932022
6 6 13 36.7625930309 2.53726291656 0.19002199173
6 6 13 37.268761158 2.51821112633 0.216622829437
6 6 13 36.576734066 2.49080991745 0.244215965271
6 1 14 36.9097070694 2.53944897652 0.568299055099
6 1 14 37.5891559124 2.53543400764 0.959764957428
6 1 14 36.8767569065 2.53784799576 1.2954018116
6 2 14 36.9218659401 2.64051294327 1.74864506721
6 2 14 36.6601998806 2.51723217964 2.27141904831
6 2 14 38.5374591351 2.59866905212 2.63553619385
6 3 14 36.5718531609 2.4999358654 0.308426856995
6 3 14 37.1268401146 2.49454712868 0.528934001923
6 3 14 38.0083549023 2.53765797615 0.676576852798
6 4 14 38.3313930035 2.72549104691 1.300604105
6 4 14 37.278938055 2.61404395103 1.29141688347
6 4 14 37.3835110664 2.55699706078 1.82883810997
6 5 14 37.4244611263 2.67743110657 1.02520084381
6 5 14 37.7610881329 2.60218381882 1.42446088791
6 5 14 37.4267110825 2.57322907448 1.80145907402
6 6 14 37.8062448502 2.52261185646 0.386166095734
6 6 14 38.2045340538 2.52568387985 0.927137851715
6 6 14 36.8091049194 2.54773497581 1.75913500786
6 1 15 37.935806036 2.50259184837 1.56943583488
6 1 15 36.8129251003 2.5668759346 1.77456498146
6 1 15 36.5855090618 2.56181907654 2.5325460434
6 2 15 37.2744069099 2.63266086578 2.66744303703
6 2 15 37.638199091 2.61569905281 4.071352005
6 2 15 38.1068589687 2.76250100136 4.78938984871
6 3 15 38.9679489136 2.5606880188 0.68603181839
6 3 15 38.3113849163 2.79776406288 1.09786105156
6 3 15 38.987498045 2.61195707321 1.31704592705
6 4 15 39.2119829655 2.82213187218 2.83261489868
6 4 15 42.3632678986 2.92136192322 4.23066282272
6 4 15 40.9330868721 3.08622908592 4.9081568718
6 5 15 39.2505149841 2.70718598366 2.51512503624
6 5 15 39.3621668816 2.69874191284 2.82937502861
6 5 15 38.6210129261 2.64324402809 3.51670384407
6 6 15 38.4553279877 2.63717913628 3.25830197334
6 6 15 37.3649981022 2.64352989197 5.00682687759
6 6 15 37.2231969833 2.62319207191 5.01987099648
6 1 16 38.0042700768 2.6025428772 3.42083001137
6 1 16 37.2334358692 2.59871006012 3.39308190346
6 1 16 37.1162331104 2.71405482292 4.21820402145
6 2 16 37.7492911816 2.99456882477 6.24932098389
6 2 16 37.3450992107 2.65283894539 7.23250579834
6 2 16 36.7315411568 2.68544507027 7.21917700768
6 3 16 37.8393650055 2.58148193359 2.6329369545
6 3 16 38.3677270412 2.63473892212 4.49867892265
6 3 16 37.2953169346 2.61658501625 4.8990252018
6 4 16 36.6626977921 2.61945009232 4.69334197044
6 4 16 36.6280949116 2.69119811058 4.77061414719
6 4 16 38.9072999954 2.69691991806 4.77826213837
6 5 16 38.1275479794 2.69273304939 4.36716008186
6 5 16 38.7258398533 2.69106817245 4.35004019737
6 5 16 39.5305540562 2.76295614243 5.57567501068
6 6 16 39.4485089779 2.68610405922 5.04475092888
6 6 16 38.4130959511 2.67644906044 5.01644802094
6 6 16 38.1468949318 3.54651093483 5.10656499863
6 1 17 38.2633149624 2.70360183716 5.08218288422
6 1 17 38.0834891796 2.66721105576 5.82943987846
6 1 17 38.4389629364 2.70030093193 6.45465803146
6 2 17 38.7628159523 2.72482991219 7.46166110039
6 2 17 39.083220005 2.77086591721 8.59909701347
6 2 17 38.3515081406 2.74033284187 9.28293704987
6 3 17 38.1944048405 2.80943608284 5.61143898964
6 3 17 38.6943249702 2.75731396675 8.43108201027
6 3 17 38.6888391972 2.73077106476 7.96487903595
6 4 17 38.7881059647 2.69351911545 4.78502511978
6 4 17 40.2014939785 2.66548204422 4.70695209503
6 4 17 39.1310529709 2.83804917336 5.54379296303
6 5 17 40.1114830971 2.94269394875 6.0359120369
6 5 17 39.0204348564 2.74605417252 6.23202395439
6 5 17 39.1783130169 3.64770579338 8.09294199944
6 6 17 38.2133059502 2.66882514954 5.0778670311
6 6 17 38.6649188995 3.25809192657 5.35346293449
6 6 17 38.6576290131 2.67439603806 5.0139029026
6 1 18 37.9299390316 2.68820595741 8.36832094193
6 1 18 38.4067969322 2.73863697052 7.68765592575
6 1 18 39.1930549145 3.01931095123 7.76632094383
6 2 18 37.0612430573 2.71352505684 8.4819560051
6 2 18 37.5057179928 2.8284239769 11.3064529896
6 2 18 38.0908839703 2.69285607338 11.0568089485
6 3 18 38.7087380886 3.65976905823 7.9727191925
6 3 18 38.0082061291 2.67964100838 9.32186508179
6 3 18 38.3717131615 3.61548686028 9.19159507751
6 4 18 38.0185611248 2.68983197212 6.07246494293
6 4 18 38.6311500072 3.61109209061 6.12942409515
6 4 18 38.0081551075 2.69801282883 6.09520697594
6 5 18 38.3855769634 2.73721504211 8.89090013504
6 5 18 39.5513350964 2.77896690369 9.24680495262
6 5 18 38.6737890244 3.61179900169 8.98297715187
6 6 18 41.7315878868 2.8275539875 11.3536438942
6 6 18 38.362295866 2.7434220314 10.6879739761
6 6 18 38.9220170975 2.75735712051 11.3259339333
6 1 19 38.6856219769 2.78123497963 7.49531507492
6 1 19 39.0591869354 3.43447089195 8.33171892166
6 1 19 40.105036974 2.99144697189 7.52485895157
6 2 19 39.1843440533 3.44643497467 14.0139679909
6 2 19 39.7639570236 2.90424394608 14.8951058388
6 2 19 38.3800640106 2.90643715858 14.0115771294
6 3 19 40.7925829887 2.94976615906 10.2997660637
6 3 19 40.0656020641 2.81661701202 10.1485960484
6 3 19 38.8917582035 2.77994799614 9.29439020157
6 4 19 39.4873030186 3.80885195732 7.16384482384
6 4 19 39.7253568172 3.01363801956 7.22900795937
6 4 19 38.6076509953 3.59218096733 7.15999794006
6 5 19 38.7165839672 2.72089719772 8.96457195282
6 5 19 40.1953649521 2.7714779377 9.17896199226
6 5 19 38.6609730721 2.74116897583 11.887925148
6 6 19 40.1870889664 2.77563500404 12.3556568623
6 6 19 39.6322820187 3.06111216545 12.8343279362
6 6 19 38.4545679092 2.73268318176 13.0556709766
6 1 20 39.536976099 2.74693202972 10.6469349861
6 1 20 38.6411960125 2.78587985039 11.3767609596
6 1 20 39.5323507786 2.81810903549 10.6382288933
6 2 20 39.2359218597 2.94215202332 13.8893768787
6 2 20 38.9902360439 2.84344792366 14.8140149117
6 2 20 39.3654820919 2.83081483841 14.5568621159
6 3 20 39.4347980022 2.8147881031 11.7244079113
6 3 20 38.6229090691 2.82374310493 12.5376820564
6 3 20 38.7276530266 2.79834389687 11.6930348873
6 4 20 40.3632109165 2.81017303467 9.81528687477
6 4 20 38.6156818867 2.76023983955 10.6162779331
6 4 20 39.1545038223 2.80801200867 9.83920693398
6 5 20 47.0896601677 3.12779593468 11.5126681328
6 5 20 43.099394083 3.0331799984 12.727599144
6 5 20 43.3658840656 3.0868370533 12.5881459713
6 6 20 42.3041729927 3.08351707458 14.9721570015
6 6 20 43.9487638474 2.77233600616 13.9825060368
6 6 20 38.8304579258 2.96629786491 14.7356688976
6 1 21 39.1616740227 2.76352000237 11.2950789928
6 1 21 39.5723478794 2.85219693184 12.2131860256
6 1 21 38.8282151222 2.90003395081 14.9479351044
6 2 21 38.6214249134 2.85221409798 14.7995729446
6 2 21 39.2694540024 2.99139499664 15.5069818497
6 2 21 41.7452728748 2.97493505478 14.424311161
6 3 21 39.5725300312 2.89115595818 12.9453930855
6 3 21 41.4426691532 2.8759739399 15.826843977
6 3 21 41.1555290222 2.87748289108 14.945581913
6 4 21 40.9690730572 3.36820697784 10.2008440495
6 4 21 40.1606850624 3.18701291084 11.0994849205
6 4 21 39.7286550999 3.00730586052 10.6917159557
6 5 21 42.5727939606 2.82039213181 10.9902698994
6 5 21 40.4454431534 2.86571192741 13.8170421124
6 5 21 40.9996850491 3.18395185471 13.1153240204
6 6 21 41.8283660412 2.85856294632 14.1962499619
6 6 21 40.4845941067 3.80526304245 13.9757759571
6 6 21 38.5412580967 2.8586230278 14.8153679371
6 1 22 39.5021271706 2.92840504646 14.4090759754
6 1 22 41.3391509056 3.38988494873 14.4908919334
6 1 22 40.2226510048 3.87286496162 13.8473620415
6 2 22 38.7134120464 2.74199700356 14.4664819241
6 2 22 38.5356888771 2.7387111187 13.7186319828
6 2 22 38.7628829479 2.77891802788 13.8540968895
6 3 22 37.6246759892 2.74365282059 14.3893549442
6 3 22 38.3930001259 3.01484084129 15.2876398563
6 3 22 41.631166935 3.08650398254 15.0618948936
6 4 22 41.8707139492 2.97508597374 10.1272530556
6 4 22 41.4307749271 3.02933812141 11.263463974
6 4 22 40.3656721115 3.10723400116 9.95523691177
6 5 22 39.1869270802 3.68209815025 12.7404081821
6 5 22 40.4081521034 2.96673297882 13.6663899422
6 5 22 39.2439711094 3.01506614685 12.6743121147
6 6 22 42.1361138821 2.9296810627 15.557500124
6 6 22 40.4221179485 2.94698309898 14.9873437881
6 6 22 39.1348822117 2.78201603889 14.8742148876
6 1 23 40.5183680058 2.8778591156 14.4532721043
6 1 23 40.8487138748 2.80809903145 14.1273770332
