size type  blanks  precomp  comp_time  postcomp
2 1 12 0.175440788269 0.0166070461273 0.00295901298523
2 1 12 0.171396017075 0.000867128372192 0.00154304504395
2 1 12 0.171452045441 0.000879049301147 0.00150418281555
2 1 12 0.16935801506 0.00088906288147 0.00135111808777
2 1 12 0.178534984589 0.000917911529541 0.00138282775879
2 1 12 0.206305027008 0.000885963439941 0.00139999389648
2 1 12 0.202960014343 0.00086498260498 0.00135707855225
2 2 12 0.191107988358 0.000804901123047 0.00111699104309
2 2 12 0.176077127457 0.000839948654175 0.00127696990967
2 2 12 0.19726896286 0.000838994979858 0.00125980377197
2 2 12 0.183573007584 0.000898122787476 0.00133204460144
2 2 12 0.188546895981 0.000926971435547 0.00138211250305
2 2 12 0.186084985733 0.000974893569946 0.00133299827576
2 2 12 0.170202970505 0.000877857208252 0.0013108253479
2 3 12 0.181030988693 0.000808954238892 0.00166606903076
2 3 12 0.175246953964 0.000838994979858 0.00139212608337
2 3 12 0.169270992279 0.000861883163452 0.00127005577087
2 3 12 0.182884931564 0.00102186203003 0.00146985054016
2 3 12 0.181270122528 0.000856161117554 0.00208592414856
2 3 12 0.177589893341 0.000869035720825 0.00135707855225
2 3 12 0.182754993439 0.00089693069458 0.00130081176758
2 4 12 0.173200130463 0.000880002975464 0.00177097320557
2 4 12 0.172425985336 0.000864028930664 0.00160503387451
2 4 12 0.208408117294 0.000840902328491 0.00134086608887
2 4 12 0.17435002327 0.000866889953613 0.00137901306152
2 4 12 0.170887947083 0.000866889953613 0.00133514404297
2 4 12 0.170324087143 0.000862121582031 0.00126600265503
2 4 12 0.169251918793 0.000897169113159 0.00126504898071
2 5 12 0.174161911011 0.00115585327148 0.00235605239868
2 5 12 0.191514968872 0.00088906288147 0.00133919715881
2 5 12 0.191988945007 0.000871181488037 0.00136399269104
2 5 12 0.201735019684 0.000895977020264 0.00128197669983
2 5 12 0.169482946396 0.000916004180908 0.00128507614136
2 5 12 0.177400827408 0.00104594230652 0.0013861656189
2 5 12 0.180785894394 0.000959157943726 0.00137805938721
2 6 12 0.187119960785 0.000890970230103 0.00192403793335
2 6 12 0.170209169388 0.000930070877075 0.00152397155762
2 6 12 0.174556970596 0.000951051712036 0.00145697593689
2 6 12 0.169063091278 0.000925064086914 0.00136613845825
2 6 12 0.171587228775 0.000932931900024 0.00128602981567
2 6 12 0.168894052505 0.000924110412598 0.00130891799927
2 6 12 0.174858093262 0.00094199180603 0.00137996673584
