size type  blanks  precomp  comp_time  postcomp
9 1 243 47.4945290089 6.16629910469 3.78236198425
9 1 243 48.2227220535 6.69607782364 31.486686945
9 1 243 46.1551017761 6.47342991829 54.0598571301
9 1 243 45.5862100124 6.50347018242 40.4814310074
9 1 243 44.9496409893 6.64179801941 2.65759396553
9 1 243 43.7827570438 6.49232602119 2.5856449604
9 1 243 45.549916029 6.59402084351 2.64176392555
9 2 243 43.6491150856 6.13846492767 4.74346399307
9 2 243 44.9359741211 6.51636791229 40.1989588737
9 2 243 44.9835782051 6.56628298759 59.6814038754
9 2 243 45.4329619408 6.68478608131 40.1461310387
9 2 243 44.9798679352 6.51626515388 2.5868909359
9 2 243 45.6232550144 6.68017506599 2.61251997948
9 2 243 44.1019070148 6.59575295448 2.63589191437
9 3 243 45.5895380974 6.27036499977 3.52262496948
9 3 243 46.0433850288 6.54471898079 32.3577339649
9 3 243 43.8608400822 6.54744410515 55.8142991066
9 3 243 46.0392599106 6.67288088799 42.2395329475
9 3 243 44.4282019138 6.67691087723 2.87606596947
9 3 243 45.6405940056 6.68293213844 2.68834996223
9 3 243 45.7880301476 6.55183076859 2.64927005768
9 4 243 44.4478759766 6.34863305092 2.03202199936
9 4 243 47.4836440086 6.42414808273 37.6325531006
9 4 243 44.3929941654 6.54744911194 56.5970449448
9 4 243 43.7808940411 6.66652584076 58.5084998608
9 4 243 45.4635560513 6.70514988899 39.0385499001
9 4 243 44.1152019501 6.71335101128 2.69853687286
9 4 243 45.317718029 6.643460989 2.70770788193
9 5 243 45.1204330921 6.17494606972 3.64225196838
9 5 243 45.4635210037 6.52338695526 32.2764978409
9 5 243 45.4281029701 6.60232686996 51.247800827
9 5 243 45.6400351524 6.6957321167 55.0095930099
9 5 243 45.9273118973 6.69909501076 52.8941771984
9 5 243 44.6126849651 6.85850906372 41.4971709251
9 5 243 45.6014499664 6.59672307968 2.65997004509
9 6 243 44.3581140041 6.1502699852 3.63670992851
9 6 243 45.7417330742 6.57511281967 36.8218619823
9 6 243 46.0001440048 6.64265108109 59.0104920864
9 6 243 44.4028320312 6.72233080864 2.67235684395
9 6 243 45.4690167904 6.66392397881 2.71329402924
9 6 243 45.7691960335 6.5957660675 2.69097089767
9 6 243 46.6194581985 6.67702102661 2.67238497734
