size  blanks  time  guess  backtrack
7  147  3.22910118103  120  45
7  147  3.49493098259  184  59
7  147  43.3922410011  1480  704
7  147  44.1306939125  1506  716
7  147  28.2930669785  1061  489
7  147  28.3358020782  1061  489
7  147  28.2855231762  1061  489
7  147  1034.16968298  37379  18672
7  147  2.73180413246  147  42
7  147  8.18455719948  349  138
7  147  5.25456881523  254  90
7  147  28.307418108  1061  489
7  147  28.2470118999  1061  489
7  147  28.2796239853  1061  489
7  147  83.3433899879  3050  1507
7  147  11.8866660595  484  208
7  147  68.0309348106  2248  1086
7  147  22.6398978233  867  393
7  147  22.1277329922  867  393
7  147  23.2043511868  867  393
7  147  29.4945619106  1061  489
7  147  13.4656748772  525  248
7  147  319.178548098  12696  6320
7  147  4.6366109848  238  83
7  147  28.2171549797  1061  489
7  147  28.2317688465  1061  489
7  147  28.1022851467  1061  489
7  147  28.9355781078  1061  489
