size  blanks  time  guess  backtrack
4  2  0.0109031200409  0  0
4  2  0.0148980617523  0  0
4  2  0.0101909637451  0  0
4  2  0.0100629329681  0  0
4  2  0.0142171382904  0  0
4  2  0.0100519657135  0  0
4  2  0.0093560218811  0  0
4  2  0.0146930217743  0  0
4  2  0.00990700721741  0  0
4  2  0.00980401039124  0  0
4  2  0.0146842002869  0  0
4  2  0.00907707214355  0  0
4  2  0.00949716567993  0  0
4  2  0.00892281532288  0  0
4  2  0.0126638412476  0  0
4  2  0.0100219249725  0  0
4  2  0.00892901420593  0  0
4  2  0.00493121147156  0  0
4  2  0.0102050304413  0  0
4  2  0.00945997238159  0  0
4  2  0.00861120223999  0  0
4  2  0.00800895690918  0  0
4  2  0.0107338428497  0  0
4  2  0.00891900062561  0  0
4  2  0.0105299949646  0  0
4  2  0.00890111923218  0  0
4  2  0.0114979743958  0  0
4  2  0.0100271701813  0  0
4  2  0.00974988937378  0  0
4  2  0.00944018363953  0  0
4  3  0.0144951343536  0  0
4  3  0.00919604301453  0  0
4  3  0.00985598564148  0  0
4  3  0.00982809066772  0  0
4  3  0.0141110420227  0  0
4  3  0.00988793373108  0  0
4  3  0.00950598716736  0  0
4  3  0.00983595848083  0  0
4  3  0.0110218524933  0  0
4  3  0.0106101036072  0  0
4  3  0.0108029842377  0  0
4  3  0.0132999420166  0  0
4  3  0.0100419521332  0  0
4  3  0.00921106338501  0  0
4  3  0.00980710983276  0  0
4  3  0.01407289505  0  0
4  3  0.0100028514862  0  0
4  3  0.00897693634033  0  0
4  3  0.0188310146332  0  0
4  3  0.0112628936768  0  0
4  3  0.0090000629425  0  0
4  3  0.0108690261841  0  0
4  3  0.00910496711731  0  0
4  3  0.0139398574829  0  0
4  3  0.010488986969  0  0
4  3  0.00892400741577  0  0
4  3  0.00979709625244  0  0
4  3  0.0149850845337  0  0
4  3  0.00539898872375  0  0
4  3  0.0102849006653  0  0
4  4  0.0102961063385  0  0
4  4  0.016576051712  0  0
4  4  0.00961995124817  0  0
4  4  0.00979208946228  0  0
4  4  0.00921702384949  0  0
4  4  0.0179970264435  0  0
4  4  0.0109341144562  0  0
4  4  0.00903105735779  0  0
4  4  0.00845503807068  0  0
4  4  0.00999712944031  0  0
4  4  0.0096709728241  0  0
4  4  0.0118618011475  0  0
4  4  0.010596036911  0  0
4  4  0.0107278823853  0  0
4  4  0.0104229450226  0  0
4  4  0.00980019569397  0  0
4  4  0.0138931274414  0  0
4  4  0.00993490219116  0  0
4  4  0.00989508628845  0  0
4  4  0.00982308387756  0  0
4  4  0.00489592552185  0  0
4  4  0.00805401802063  0  0
4  4  0.0114901065826  0  0
4  4  0.00891804695129  0  0
4  4  0.0181169509888  0  0
4  4  0.0140039920807  0  0
4  4  0.0139420032501  0  0
4  4  0.0105409622192  0  0
4  4  0.0130298137665  0  0
4  4  0.014955997467  0  0
4  5  0.019553899765  0  0
4  5  0.00921607017517  0  0
4  5  0.00689291954041  0  0
4  5  0.0107119083405  0  0
4  5  0.0166358947754  0  0
4  5  0.0100078582764  0  0
4  5  0.0152931213379  0  0
4  5  0.00984287261963  0  0
4  5  0.0108170509338  0  0
4  5  0.0106599330902  0  0
4  5  0.00495576858521  0  0
4  5  0.0102400779724  0  0
4  5  0.0105412006378  0  0
4  5  0.0173301696777  0  0
4  5  0.00989508628845  0  0
4  5  0.0106389522552  0  0
4  5  0.014771938324  0  0
4  5  0.00997304916382  0  0
4  5  0.00984406471252  0  0
4  5  0.0107171535492  0  0
4  5  0.00946712493896  0  0
4  5  0.00992584228516  0  0
4  5  0.00993990898132  0  0
4  5  0.0134479999542  0  0
4  5  0.0143120288849  0  0
4  5  0.0096390247345  0  0
4  5  0.0099458694458  0  0
4  5  0.0105729103088  0  0
4  5  0.00995898246765  0  0
4  5  0.010055065155  0  0
4  6  0.0148191452026  0  0
4  6  0.0101330280304  0  0
4  6  0.0100829601288  0  0
4  6  0.0100829601288  0  0
4  6  0.0105531215668  0  0
4  6  0.0106189250946  0  0
4  6  0.0104179382324  0  0
4  6  0.0174190998077  0  0
4  6  0.0105841159821  0  0
4  6  0.0104219913483  0  0
4  6  0.013946056366  0  0
4  6  0.009281873703  0  0
4  6  0.0106880664825  0  0
4  6  0.00993609428406  0  0
4  6  0.0100541114807  0  0
4  6  0.0108668804169  0  0
4  6  0.00982594490051  0  0
4  6  0.0179119110107  0  0
4  6  0.0104601383209  0  0
4  6  0.0066089630127  0  0
4  6  0.0140600204468  0  0
4  6  0.0122220516205  0  0
4  6  0.0185959339142  1  0
4  6  0.0191290378571  0  0
4  6  0.0154981613159  0  0
4  6  0.0239918231964  1  0
4  6  0.0139560699463  0  0
4  6  0.0100820064545  0  0
4  6  0.00989699363708  0  0
4  6  0.0155651569366  0  0
4  7  0.0115411281586  0  0
4  7  0.0176000595093  1  0
4  7  0.0304729938507  1  0
4  7  0.0099151134491  0  0
4  7  0.0124077796936  0  0
4  7  0.0149419307709  0  0
4  7  0.0113220214844  0  0
4  7  0.0126521587372  0  0
4  7  0.0150561332703  0  0
4  7  0.0117762088776  0  0
4  7  0.0189609527588  1  0
4  7  0.0137541294098  0  0
4  7  0.0210471153259  1  0
4  7  0.0275838375092  1  0
4  7  0.00999402999878  0  0
4  7  0.0107898712158  0  0
4  7  0.015328168869  0  0
4  7  0.00991606712341  0  0
4  7  0.0110719203949  0  0
4  7  0.0140888690948  0  0
4  7  0.0101339817047  0  0
4  7  0.0101568698883  0  0
4  7  0.012953042984  0  0
4  7  0.010626077652  0  0
4  7  0.0105240345001  0  0
4  7  0.0129809379578  0  0
4  7  0.00992298126221  0  0
4  7  0.0124869346619  0  0
4  7  0.011843919754  0  0
4  7  0.0165569782257  0  0
4  8  0.011500120163  0  0
4  8  0.010575056076  0  0
4  8  0.0140268802643  0  0
4  8  0.00858116149902  0  0
4  8  0.0180501937866  0  0
4  8  0.0289080142975  1  0
4  8  0.014228105545  0  0
4  8  0.0304770469666  1  0
4  8  0.0101850032806  0  0
4  8  0.0239238739014  1  0
4  8  0.0303840637207  1  0
4  8  0.0176651477814  1  0
4  8  0.028459072113  0  0
4  8  0.0121269226074  0  0
4  8  0.0134580135345  0  0
4  8  0.0172030925751  0  0
4  8  0.0109779834747  0  0
4  8  0.0191218852997  1  0
4  8  0.0111598968506  0  0
4  8  0.0274600982666  1  0
4  8  0.0314741134644  1  0
4  8  0.0146760940552  0  0
4  8  0.0201230049133  0  0
4  8  0.0137600898743  0  0
4  8  0.0102829933167  0  0
4  8  0.0136630535126  0  0
4  8  0.0100920200348  0  0
4  8  0.00680899620056  0  0
4  8  0.0232501029968  1  0
4  8  0.0220019817352  1  0
4  9  0.0105018615723  0  0
4  9  0.0186650753021  0  0
4  9  0.0359799861908  2  0
4  9  0.0300920009613  1  0
4  9  0.0241761207581  0  0
4  9  0.0329899787903  2  0
4  9  0.028254032135  1  0
4  9  0.019415140152  0  0
4  9  0.0171949863434  0  0
4  9  0.0400521755219  1  0
4  9  0.0213398933411  1  0
4  9  0.0280058383942  1  0
4  9  0.0107769966125  0  0
4  9  0.0367720127106  1  0
4  9  0.0171408653259  0  0
4  9  0.0242021083832  0  0
4  9  0.0146741867065  0  0
4  9  0.00991106033325  0  0
4  9  0.0389919281006  2  0
4  9  0.0107529163361  0  0
4  9  0.0102229118347  0  0
4  9  0.0270290374756  0  0
4  9  0.0137391090393  0  0
4  9  0.0144999027252  0  0
4  9  0.0260059833527  1  0
4  9  0.020703792572  0  0
4  9  0.0374867916107  1  0
4  9  0.0179131031036  0  0
4  9  0.00935792922974  0  0
4  9  0.0315361022949  0  0
4  10  0.0271530151367  1  0
4  10  0.032897233963  1  0
4  10  0.028126001358  1  0
4  10  0.0295741558075  1  0
4  10  0.0262279510498  1  0
4  10  0.0298290252686  1  0
4  10  0.0172851085663  0  0
4  10  0.0290060043335  1  0
4  10  0.0359899997711  2  0
4  10  0.0433688163757  1  0
4  10  0.0102458000183  0  0
4  10  0.0314440727234  1  0
4  10  0.0242660045624  1  0
4  10  0.0234620571136  1  0
4  10  0.0195410251617  1  0
4  10  0.0348920822144  1  0
4  10  0.0104959011078  0  0
4  10  0.0371289253235  1  0
4  10  0.0317859649658  1  0
4  10  0.0355429649353  2  0
4  10  0.0247781276703  1  0
4  10  0.0302939414978  1  0
4  10  0.0257270336151  1  0
4  10  0.0478699207306  3  0
4  10  0.0336191654205  1  0
4  10  0.0262651443481  1  0
4  10  0.0307211875916  0  0
4  10  0.0126118659973  0  0
4  10  0.0277011394501  1  0
4  10  0.0346500873566  2  0
4  11  0.039510011673  1  0
4  11  0.0287380218506  1  0
4  11  0.0299727916718  0  0
4  11  0.0318748950958  2  1
4  11  0.0304160118103  2  0
4  11  0.0369939804077  1  0
4  11  0.029776096344  2  0
4  11  0.0439360141754  2  0
4  11  0.0543751716614  4  1
4  11  0.0421628952026  2  0
4  11  0.0272979736328  1  0
4  11  0.0272350311279  1  0
4  11  0.038300037384  3  0
4  11  0.019779920578  1  0
4  11  0.0109081268311  0  0
4  11  0.0588400363922  4  1
4  11  0.03950715065  2  0
4  11  0.0246620178223  0  0
4  11  0.016587972641  1  0
4  11  0.0169219970703  0  0
4  11  0.0462760925293  3  0
4  11  0.0373899936676  2  0
4  11  0.0430929660797  3  1
4  11  0.0410389900208  2  1
4  11  0.0515398979187  3  1
4  11  0.0410480499268  2  0
4  11  0.0483770370483  1  0
4  11  0.0319480895996  1  0
4  11  0.00979495048523  0  0
4  11  0.0128622055054  1  0
4  12  0.0607841014862  3  1
4  12  0.0479860305786  3  0
4  12  0.0344641208649  2  0
4  12  0.0386960506439  3  0
4  12  0.0515270233154  2  1
4  12  0.0545299053192  2  0
4  12  0.0606510639191  4  1
4  12  0.0269920825958  1  0
4  12  0.0392460823059  2  0
4  12  0.0464248657227  3  0
4  12  0.0536730289459  2  1
4  12  0.0596749782562  3  1
4  12  0.0802609920502  5  2
4  12  0.0416479110718  3  0
4  12  0.0649838447571  4  1
4  12  0.0498359203339  2  0
4  12  0.0368020534515  1  0
4  12  0.0568931102753  3  1
4  12  0.0408580303192  3  0
4  12  0.0587558746338  3  1
4  12  0.0465109348297  3  1
4  12  0.0399789810181  2  0
4  12  0.0685260295868  4  1
4  12  0.045432806015  3  1
4  12  0.0331861972809  1  0
4  12  0.0484359264374  3  0
4  12  0.0319039821625  2  0
4  12  0.045166015625  3  0
4  12  0.0616209506989  5  1
4  12  0.0482749938965  2  0
4  13  0.0579519271851  4  0
4  13  0.0588788986206  3  0
4  13  0.0849120616913  4  1
4  13  0.0603430271149  5  1
4  13  0.0664200782776  5  1
4  13  0.0510041713715  3  0
4  13  0.0418789386749  2  0
4  13  0.051234960556  4  0
4  13  0.0550799369812  3  0
4  13  0.0275709629059  2  0
4  13  0.0511960983276  4  0
4  13  0.0842061042786  5  1
4  13  0.0546200275421  4  1
4  13  0.0370621681213  3  0
4  13  0.0715968608856  6  1
4  13  0.027007818222  2  0
4  13  0.03679895401  3  0
4  13  0.0461280345917  2  0
4  13  0.0380640029907  2  0
4  13  0.0342118740082  3  0
4  13  0.0503740310669  4  0
4  13  0.0494019985199  4  0
4  13  0.0553638935089  2  0
4  13  0.0661518573761  5  1
4  13  0.0431549549103  2  0
4  13  0.0322849750519  3  0
4  13  0.034530878067  2  0
4  13  0.0470230579376  3  0
4  13  0.0454030036926  2  0
4  13  0.0384349822998  3  0
4  14  0.0401599407196  3  0
4  14  0.0613780021667  4  1
4  14  0.0599069595337  4  0
4  14  0.0439500808716  4  0
4  14  0.0332398414612  2  0
4  14  0.0569779872894  4  0
4  14  0.0747730731964  5  1
4  14  0.0616910457611  6  1
4  14  0.0547420978546  4  0
4  14  0.059504032135  5  1
4  14  0.0500540733337  3  0
4  14  0.0769739151001  6  1
4  14  0.0659251213074  6  1
4  14  0.0302329063416  3  0
4  14  0.0582849979401  5  1
4  14  0.0515120029449  3  0
4  14  0.0474281311035  5  1
4  14  0.0271229743958  2  0
4  14  0.0486280918121  3  0
4  14  0.0605299472809  5  1
4  14  0.0502879619598  4  0
4  14  0.0495820045471  4  0
4  14  0.0539879798889  4  0
4  14  0.049868106842  4  0
4  14  0.0733740329742  5  1
4  14  0.0568079948425  5  1
4  14  0.0687348842621  7  1
4  14  0.0462510585785  4  1
4  14  0.0599131584167  6  1
4  14  0.0626170635223  5  1
4  15  0.0609519481659  6  1
4  15  0.0473380088806  4  0
4  15  0.0683569908142  6  1
4  15  0.0412518978119  4  0
4  15  0.0596041679382  6  1
4  15  0.0633039474487  5  1
4  15  0.0668709278107  6  1
4  15  0.0535821914673  5  0
4  15  0.0537447929382  4  0
4  15  0.0584349632263  6  1
4  15  0.0560519695282  5  0
4  15  0.0652351379395  7  1
4  15  0.0457680225372  4  0
4  15  0.0574398040771  6  1
4  15  0.056440114975  4  0
4  15  0.0426969528198  4  0
4  15  0.0682790279388  6  1
