size  blanks  time  guess  backtrack
4  48  0.866729021072  69  29
4  48  0.559626102448  55  17
4  48  0.569301128387  56  17
4  48  0.570275068283  56  17
4  48  0.563373804092  56  17
4  48  0.580501794815  56  17
4  48  0.586490154266  56  17
4  48  0.17407989502  10  2
4  48  0.418084144592  41  12
4  48  0.331979036331  36  9
4  48  0.565719127655  56  17
4  48  0.551685094833  56  17
4  48  0.572789907455  56  17
4  48  0.55904507637  56  17
4  48  0.201553106308  17  5
4  48  0.400403022766  38  11
4  48  0.471549987793  47  13
4  48  0.563749074936  56  17
4  48  0.562442064285  56  17
4  48  0.563637971878  56  17
4  48  0.556943893433  56  17
4  48  0.167788982391  14  2
4  48  0.366302013397  36  9
4  48  0.376716136932  36  9
4  48  0.575315952301  56  17
4  48  0.754735946655  56  17
4  48  0.563483953476  56  17
4  48  0.554471969604  56  17
4  48  0.186453104019  16  3
4  48  0.683485984802  61  22
4  48  0.558099031448  54  17
4  48  0.548256874084  55  17
4  48  0.625207901001  56  17
4  48  0.551899909973  56  17
4  48  0.566353082657  56  17
4  48  0.316783905029  26  8
4  48  0.235517024994  27  4
4  48  0.371953964233  41  10
4  48  0.411602973938  45  12
4  48  0.564530849457  56  17
4  48  0.584764957428  56  17
4  48  0.558366060257  56  17
