x exh gb sat 
2 0.00816299915314 0.063638931229 0.000898440678915
3 0.0109150250753 0.146970510483 0.000870823860169
4 0.0112163146337 0.266388893127 0.000914560423957
5 0.0111934582392 0.296907186508 0.00101786189609
6 0.0125903526942 0.290375045368 0.0011629793379
7 0.0139468749364 0.304060822441 0.00098368856642
8 0.0174868027369 0.279481740225 0.00126181708442
9 0.0226127942403 0.299484065601 0.00105880366431
10 0.0284166574478 0.273565632956 0.000955714119805
11 0.0337054808935 0.271730564889 0.00101584858364
12 0.0491241296132 0.307766250202 0.000997622807821
13 0.0499430179596 0.271375395003 0.00109728177388
14 0.0544813156128 0.281000108946 0.00129922231038
15 0.0587771336238 0.293584335418 0.00117611885071
16 0.072029097875 0.278669544629 0.00115978717804
